loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Start,Count
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.064,59
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.065,47
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.066,51
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.067,52
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.068,43
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.069,56
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.07,137
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.072,75
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.073,51
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.074,72
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.075,75
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.076,68
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.077,94
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.078,118
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.079,116
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.08,82
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.081,62
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.082,66
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.083,69
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.084,59
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.085,160
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.086,81
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.088,68
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.089,78
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.09,84
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.091,76
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.092,72
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.093,90
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.094,91
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.095,79
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.096,76
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.097,72
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.098,99
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.099,88
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.1,90
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.101,188
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.102,74
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.104,65
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.105,63
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.106,92
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.107,105
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.108,76
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.109,67
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.11,70
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.111,85
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.112,83
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.113,85
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.114,80
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.115,205
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.116,248
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.117,478
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.118,196
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.12,180
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.121,129
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.122,150
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.123,162
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.124,143
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.125,163
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.126,109
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.127,67
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.128,64
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.129,63
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.13,91
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.131,98
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.132,79
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.133,58
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.134,63
