loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
3,private,loc2,Full,5,7.0.0.6,7.0.0.3,TCP,810,84116,4567900,83306,4522964,1.209999999,734.617999999,734.631999999,6228.193007309561,6166.9325436106365
3,private,loc2,Full,6,7.0.0.7,7.0.0.4,TCP,1139,98280,5335420,97141,5272240,2.347999999,799.538999999,799.553999999,6692.649076901077,6613.397290035448
3,private,loc2,Full,7,7.0.0.8,7.0.0.9,TCP,3300,226171,132977896,222871,131038028,4.336999999,799.603999999,799.618999999,166575.67956392188,164769.26172099958
3,private,loc2,Full,8,7.0.0.9,7.0.0.10,TCP,3170,229479,134927468,226309,133064040,4.434999999,799.589999999,799.604999999,169046.0105739018,167340.3674685916
3,private,loc2,Full,9,7.0.0.9,7.0.0.8,TCP,5229,126711,6849144,121482,6568780,4.351999999,799.591999999,799.603999999,8612.512967538714,8259.998088656173
3,private,loc2,Full,10,7.0.0.10,7.0.0.9,TCP,561,127472,6865628,126911,6835568,4.460999999,799.574999999,799.589999999,8634.489523857434,8596.803789070704
3,private,loc1,Light,1,7.0.0.2,7.0.0.5,TCP,2916,142154,83574516,139238,81859908,1.340999999,659.620999999,659.635999999,126955.96166614756,124351.40476534078
3,private,loc1,Light,2,7.0.0.3,7.0.0.6,TCP,3394,146019,85849228,142625,83853660,1.905999999,734.515999999,734.530999999,117180.29607188348,114456.4545299437
3,private,loc1,Light,3,7.0.0.4,7.0.0.7,TCP,2950,184148,108271920,181198,106537320,2.332999999,799.499999999,799.514999999,135609.71933306765,133642.40537292612
3,private,loc1,Light,4,7.0.0.5,7.0.0.2,TCP,612,79888,4333920,79276,4299784,1.355999999,659.608999999,659.620999999,6583.823002181482,6531.995472947825
3,private,loc1,Light,5,7.0.0.6,7.0.0.3,TCP,887,82332,4472204,81445,4422176,1.920999999,734.504999999,734.515999999,6104.572897314902,6036.317474184235
3,private,loc1,Light,6,7.0.0.7,7.0.0.4,TCP,1301,102824,5547540,101523,5476136,2.347999999,799.486999999,799.499999999,6959.182291000233,6869.625868090401
3,private,loc1,Light,7,7.0.0.8,7.0.0.9,TCP,2616,199380,117015332,196764,115480032,4.876999999,799.401999999,799.416999999,146716.34549786214,145341.99914415888
3,private,loc1,Light,8,7.0.0.9,7.0.0.10,TCP,3721,194372,114098784,190651,111918320,4.334999999,799.014999999,799.036999999,143035.48216376692,140830.55031949084
3,private,loc1,Light,9,7.0.0.9,7.0.0.8,TCP,3132,112236,6067284,109104,5897908,4.891999999,799.390999999,799.401999999,7636.472107477023,7423.327585555876
3,private,loc1,Light,10,7.0.0.10,7.0.0.9,TCP,671,108679,5893424,108008,5856780,4.370999999,799.011999999,799.026999999,7416.125041998196,7370.207989368984
3,private,loc2,Light,1,7.0.0.2,7.0.0.5,TCP,2758,138118,81200992,135360,79579288,1.997999999,659.571999999,659.586999999,123482.80850748408,121016.75666715836
3,private,loc2,Light,2,7.0.0.3,7.0.0.6,TCP,3878,152418,89611116,148540,87330852,1.735999999,734.593999999,734.606999999,122273.63229158582,119162.65209020417
3,private,loc2,Light,3,7.0.0.4,7.0.0.7,TCP,3703,175941,103443492,172238,101266128,2.332999999,799.508999999,799.523999999,129701.3673942196,127028.68948595756
3,private,loc2,Light,4,7.0.0.5,7.0.0.2,TCP,561,78067,4238076,77506,4207424,2.012999999,659.560999999,659.571999999,6445.125410036756,6398.549787927776
3,private,loc2,Light,5,7.0.0.6,7.0.0.3,TCP,945,86181,4696056,85236,4643732,1.750999999,734.579999999,734.593999999,6407.988603304387,6336.5986984934025
3,private,loc2,Light,6,7.0.0.7,7.0.0.4,TCP,1161,99141,5384592,97980,5319468,2.347999999,799.494999999,799.508999999,6754.702306432067,6673.015865051099
3,private,loc2,Light,7,7.0.0.8,7.0.0.9,TCP,2687,187544,110075240,184857,108498688,4.762999999,799.260999999,799.275999999,138022.9734929009,136559.99083715436
3,private,loc2,Light,8,7.0.0.9,7.0.0.10,TCP,3276,192824,113208136,189548,111283068,4.405999999,799.035999999,799.051999999,141927.85782751403,140041.0597926624
3,private,loc2,Light,9,7.0.0.9,7.0.0.8,TCP,2878,105393,5693224,102515,5537792,4.777999999,799.245999999,799.260999999,7165.948170067831,6970.308993395705
3,private,loc2,Light,10,7.0.0.10,7.0.0.9,TCP,567,107661,5815568,107094,5784724,4.441999999,799.013999999,799.035999999,7318.788635402613,7280.100277626058
